GPA,Internships,Competitions,Penalties,Nationality,Salary
2.3,2,1,1,Australia,114022
2.5,0,0,0,U.K.,115144
2.72,2,0,1,Australia,116504
3.05,2,0,0,U.S.,173496
2.75,1,2,0,U.K.,162448
2.22,1,0,0,U.K.,126739
3.03,1,1,1,U.K.,121027
2.47,0,1,0,U.K.,124065
3.24,1,0,0,U.K.,157105
2.54,2,0,0,U.S.,158209
3.77,0,0,0,Australia,148251
2.61,1,1,1,Australia,103250
2.84,1,1,0,U.K.,155169
3.41,1,1,2,Australia,87202
2.38,2,0,0,U.S.,153537
3.11,1,0,0,Australia,148413
3.65,1,2,1,U.K.,149607
2.2,1,1,0,Australia,130885
3.09,1,0,0,U.K.,152770
3.13,0,2,0,U.K.,153899
3.39,1,1,1,U.K.,131728
2.38,0,0,0,Australia,106447
2.34,0,1,2,Australia,35192
3.26,1,1,2,U.K.,87830
3.15,1,1,0,U.K.,164456
3.13,2,0,0,U.K.,173756
3.17,1,0,0,U.K.,155197
2.66,1,2,0,U.K.,159799
3.12,1,0,0,U.K.,153484
3.15,0,0,0,Australia,129396
2.64,1,0,0,U.K.,139284
3.93,0,0,1,U.K.,117986
3.24,2,1,1,U.K.,147108
2.4,0,2,1,U.S.,94129
3.33,1,0,0,Australia,154847
2.51,0,0,0,Australia,110380
3.39,2,0,0,U.K.,181805
3.58,1,1,2,Australia,92380
2.59,1,1,0,U.K.,147690
3.48,0,0,1,Australia,99449
3.21,1,1,0,U.S.,168191
3.41,0,1,0,Australia,147332
3.95,2,1,1,Australia,163451
2.88,0,2,0,Australia,141319
2.62,0,0,1,U.K.,78694
2.56,0,1,2,U.S.,48658
2.59,1,0,0,U.K.,137763
2.96,1,1,0,Australia,153843
3.17,0,1,0,U.K.,145119
3.14,1,1,2,U.K.,84152
3.41,1,1,0,U.K.,172409
3.01,1,0,0,U.K.,150195
3.73,1,0,0,U.K.,171802
2.87,1,2,1,Australia,121029
3.28,1,2,0,U.K.,178445
3.31,0,0,1,U.K.,99385
2.57,0,0,2,Australia,32144
2.46,2,0,0,U.K.,153937
3.24,2,1,0,Australia,182236
2.89,1,1,2,Australia,71649
3.36,0,0,0,Australia,135709
3.24,1,0,1,Australia,112098
2.96,1,1,0,U.K.,158908
2.58,0,1,0,Australia,122300
2.24,0,0,1,U.K.,67280
2.78,1,0,0,U.K.,143303
3.43,1,0,0,Australia,157846
3.11,0,0,0,U.K.,133212
2.38,0,0,0,Australia,106315
3.09,0,1,0,Australia,137597
3.19,1,1,0,Australia,160782
2.56,0,1,2,U.S.,48742
3.08,0,1,0,U.K.,142306
3.03,1,0,0,U.K.,150874
2.43,0,0,0,Australia,107856
3.18,1,0,1,U.K.,115368
3.28,0,0,0,Australia,133411
3.54,0,1,2,Australia,71245
3.53,0,2,0,Australia,160806
2.31,1,0,0,U.K.,129335
2.53,2,0,0,U.K.,155933
3.26,2,1,0,U.K.,187726
3.26,1,0,0,U.K.,157708
3.26,1,0,0,Australia,152726
2.67,0,1,1,U.K.,90241
3.29,0,1,0,U.K.,148562
3.57,2,0,0,U.K.,187033
3.48,0,0,0,Australia,139311
3.33,0,1,1,Australia,104772
2.84,0,0,0,U.K.,125271
3.38,0,0,0,U.K.,141384
2.61,0,1,0,U.K.,128406
2.88,1,0,1,U.K.,106447
2.76,1,1,0,Australia,147720
3.04,2,0,0,Australia,166229
2.76,2,2,1,U.K.,142694
2.07,1,0,1,U.K.,81991
3.34,0,0,0,U.S.,142294
2.19,1,0,1,U.K.,85809
2.76,1,0,0,Australia,137922
3.54,0,1,0,U.K.,156335
3.03,1,2,0,U.K.,170965
2.46,1,0,0,U.K.,133833
2.64,1,0,0,Australia,134268
3.34,1,1,2,U.S.,92195
2.63,0,1,0,U.K.,129044
3.11,2,0,0,U.K.,173246
3.02,1,0,0,U.K.,150684
2.67,0,0,2,U.K.,40226
2.7,2,1,0,U.K.,171115
3.32,1,0,0,U.K.,159509
2.57,2,1,0,Australia,162041
3.09,1,0,0,U.K.,152795
2.67,1,1,2,U.K.,70074
3.43,0,0,2,U.S.,64787
2.6,0,0,0,U.K.,118112
2.94,1,0,2,U.S.,70279
3.25,1,1,0,U.K.,167573
3.43,0,0,1,Australia,97987
2.4,0,0,0,Australia,106995
2.83,2,0,0,Australia,159981
2.76,2,0,0,U.S.,164874
2.67,1,1,0,U.K.,150201
3.88,0,1,0,U.S.,168481
3.2,0,1,0,U.K.,146076
2.37,0,0,0,U.K.,111086
3.46,2,1,1,U.K.,153766
3.02,0,0,0,Australia,125727
3.52,1,0,0,U.K.,165488
2.24,0,0,2,Australia,22209
2.76,1,0,0,Australia,137736
3.63,1,1,0,Australia,174004
2.65,2,1,0,Australia,164385
3.22,0,1,1,U.K.,106658
3.39,0,0,0,U.K.,141621
2.54,0,0,0,U.K.,116096
2.97,2,0,1,U.K.,129106
2.58,2,0,2,U.K.,77535
2.49,1,0,0,U.K.,134634
2.87,1,0,0,U.K.,146211
2.38,1,0,0,U.S.,133282
3.82,0,0,1,Australia,109487
2.28,2,1,0,U.K.,158548
2.78,1,2,0,Australia,158399
3.07,1,2,2,U.K.,91960
3.72,1,1,0,U.K.,181619
2.28,0,0,0,Australia,103461
3.58,0,1,0,U.K.,157448
3.01,1,1,0,U.K.,160155
2.51,0,0,0,U.S.,117276
3.23,1,0,0,Australia,151931
3.1,0,1,0,Australia,137984
2.7,1,0,0,Australia,135996
3.03,0,0,2,Australia,46047
2.81,1,0,0,U.K.,144219
3.06,1,0,2,U.K.,71702
3.33,0,0,0,U.K.,139931
3.79,1,0,1,U.K.,133790
2.38,1,0,1,Australia,86433
3.14,1,0,0,U.K.,154056
2.02,2,1,1,U.S.,112719
2.92,1,0,1,U.S.,109723
3.29,0,0,0,Australia,133824
3.14,0,0,0,Australia,129217
2.69,0,2,0,Australia,135661
2.9,1,0,1,U.K.,106877
2.75,0,0,1,Australia,77606
2.71,1,1,1,U.K.,111160
3.42,1,1,0,Australia,167743
3.18,1,0,1,U.K.,115356
2.65,1,1,0,Australia,144608
3.45,0,0,0,U.S.,145493
3.15,0,0,0,U.K.,134609
3.41,1,0,0,U.K.,162194
3.31,1,0,0,U.S.,161445
2.59,1,1,0,U.K.,147566
2.72,1,0,0,Australia,136598
3.37,0,0,0,Australia,136210
3.31,2,1,0,U.K.,189154
2.99,1,1,0,U.K.,159688
3.06,1,0,0,U.K.,151761
3.64,0,1,0,Australia,154165
2.7,1,0,0,U.K.,141126
3.27,1,1,0,Australia,163205
2.9,0,1,0,U.K.,136968
2.89,2,2,0,Australia,181735
3.55,0,0,0,Australia,141482
3.41,2,0,0,U.S.,184382
3.41,1,0,1,U.K.,122202
3.65,0,0,0,Australia,144583
3.01,1,0,0,Australia,145314
3.34,2,2,0,Australia,195229
2.84,1,0,0,U.S.,147346
3.16,2,0,0,U.K.,174863
2.93,1,1,0,U.K.,158047
3.05,1,0,0,Australia,146455
3.3,2,1,0,U.K.,188928
2.59,0,0,0,Australia,112726
2.97,1,0,1,Australia,104245
2.5,0,0,1,U.K.,74911
2.39,2,0,1,Australia,106789
3.58,2,2,2,U.K.,127370
3.4,0,0,0,Australia,136876
3.31,1,0,0,Australia,154361
3.31,2,0,0,U.S.,181425
2.99,0,0,0,U.K.,129817
2.55,1,1,1,U.K.,106541
3.04,2,0,0,Australia,166136
2.66,0,1,2,Australia,44842
3.49,1,2,0,Australia,179626
2.93,0,0,2,U.K.,47793
2.59,2,2,0,U.K.,177617
2.84,2,0,0,U.K.,165178
3.21,2,0,0,Australia,171195
2.72,1,0,0,U.K.,141546
2.59,2,1,0,U.K.,167666
3.12,2,2,0,U.S.,195656
3.12,1,0,1,U.K.,113675
2.75,2,1,0,U.S.,174396
2.76,0,0,0,Australia,117935
3.12,1,0,0,Australia,148481
2.28,0,0,1,U.K.,68279
2.3,0,2,0,U.K.,128887
2.64,0,1,0,Australia,124224
2.89,1,0,0,Australia,141799
3.16,1,0,0,Australia,149663
3.74,1,0,0,U.K.,172130
3.43,0,0,0,Australia,137866
2.92,1,0,0,Australia,142601
2.99,1,1,1,Australia,114716
2.5,1,0,0,Australia,129964
2.99,1,0,0,Australia,144722
2.86,1,0,0,Australia,140669
3.16,2,1,2,U.K.,104841
2.59,1,1,0,U.K.,147592
3.26,0,0,1,U.K.,97790
3.77,0,1,0,U.K.,162993
2.95,2,0,0,U.K.,168367
3.2,0,0,0,U.K.,136026
3.35,2,0,2,U.K.,100352
2.8,1,0,0,U.K.,143983
3.11,2,0,1,Australia,128363
3.01,1,2,1,U.S.,132188
3.05,2,1,0,U.K.,181465
2.61,1,1,0,U.S.,150406
3.01,1,0,0,Australia,145367
3.25,1,0,0,U.K.,157470
3.73,1,1,1,U.K.,141767
3.48,1,0,2,Australia,79387
2.88,2,0,0,Australia,161416
2.62,2,0,0,Australia,153489
3.44,1,1,1,U.K.,133084
3.09,1,0,0,U.K.,152752
2.55,1,0,1,U.K.,96385
2.6,1,1,0,U.K.,147876
2.58,0,0,0,U.K.,117404
2.7,0,0,0,U.K.,121009
2.71,1,0,0,Australia,136349
2.74,0,0,0,U.S.,124114
2.62,0,1,0,U.K.,128614
3.08,0,0,0,U.S.,134257
3.17,0,0,1,U.K.,95126
3.94,0,1,1,U.K.,128142
3.48,2,1,0,U.K.,194255
2.71,1,1,0,Australia,146346
2.55,1,0,0,U.S.,138527
3.25,1,0,0,Australia,152380
2.34,0,2,0,U.K.,130195
3.92,2,1,0,Australia,202471
3.59,1,0,0,U.K.,167692
2.77,0,0,0,Australia,117963
2.14,1,0,0,Australia,119304
3.68,2,2,0,U.K.,210308
2.94,2,0,2,Australia,83282
3.62,1,0,0,Australia,163568
2.2,1,0,0,U.K.,126084
2.7,0,1,0,Australia,126007
3,2,1,0,U.K.,180078
3.02,0,0,1,Australia,85704
2.77,2,1,0,Australia,168249
3.31,1,2,2,Australia,94346
2.47,1,0,0,Australia,128986
2.93,1,0,0,Australia,142864
3.06,0,0,1,U.K.,91805
3.26,0,1,0,Australia,142717
3.36,0,0,0,U.K.,140675
2.44,0,1,0,U.K.,123131
2.23,1,1,0,U.K.,136990
3.64,1,0,1,U.K.,129164
3.17,0,2,0,Australia,149985
2.63,2,0,0,U.K.,158772
3.78,2,0,0,Australia,188268
3.06,2,1,0,U.K.,181734
3.59,2,1,0,U.K.,197689
3.03,0,0,0,Australia,126012
3.38,1,1,0,U.K.,171332
3.88,1,2,1,U.K.,156331
2.88,1,0,0,Australia,141264
3.49,0,2,0,U.K.,164574
3.32,2,0,1,Australia,134680
3.68,0,0,0,U.K.,150528
2.52,0,0,0,U.K.,115526
3.34,1,1,0,Australia,165290
3.53,1,1,0,U.K.,175879
2.12,1,0,0,U.K.,123619
2.41,0,0,2,U.K.,32250
3.25,2,1,0,U.K.,187513
2.87,0,0,0,Australia,120960
3.36,0,1,1,U.K.,110765
3.75,2,1,0,Australia,197534
3.04,2,0,0,Australia,166110
3.81,2,2,0,U.K.,214431
2.31,2,0,2,U.S.,71299
2.15,1,2,0,U.K.,144448
2.97,1,1,0,U.S.,161167
3.19,0,1,0,U.K.,145758
2.98,1,0,0,Australia,144510
2.51,1,1,0,U.K.,145337
2.96,0,0,0,U.K.,128664
2.35,1,0,1,Australia,85432
3.33,1,0,0,Australia,155045
3.18,0,0,0,U.K.,135498
2.53,0,0,1,U.K.,75902
2.74,1,1,2,Australia,67291
2.47,0,1,0,Australia,119111
2.97,2,0,0,U.S.,171059
3.48,1,1,0,Australia,169328
2.51,1,0,2,U.S.,57215
3.25,1,1,2,Australia,82560
2.73,2,1,0,U.K.,172046
2.6,1,0,1,U.K.,98105
2.95,1,1,0,Australia,153394
2.48,1,0,0,Australia,129471
2.72,0,0,0,U.K.,121698
2.4,2,1,1,U.K.,122031
3.98,1,0,0,U.S.,181472
3.02,1,0,1,Australia,105530
2.65,2,0,1,U.K.,119504
3.11,2,1,1,U.K.,143211
2.94,1,0,0,U.K.,148315
2.89,2,0,0,U.K.,166686
3.31,1,1,0,U.K.,169212
3.38,1,1,0,U.K.,171364
2.73,1,0,0,Australia,137044
2.71,1,0,2,U.K.,61362
2.86,0,0,0,Australia,120873
3.05,2,0,0,Australia,166490
2.24,2,0,0,U.K.,147271
3.68,0,1,0,Australia,155503
3.82,2,1,0,U.K.,204676
2.88,0,1,0,Australia,131264
3.29,1,0,2,U.K.,78648
3.16,1,1,0,Australia,159669
3.38,0,0,2,Australia,56272
3.56,2,2,1,U.K.,166791
2.94,2,1,0,U.K.,178081
2.52,1,0,2,Australia,50667
2.2,0,1,0,Australia,110905
3.1,0,0,1,U.K.,93051
2.62,1,1,0,Australia,143653
2.29,2,0,1,U.K.,108667
2.68,1,0,1,Australia,95301
2.46,0,1,1,U.K.,83776
3.84,1,0,1,Australia,130307
3.44,1,1,0,U.K.,173224
3,1,0,0,U.K.,149880
3.74,0,1,0,U.K.,162197
3.04,1,1,0,U.K.,161161
2.57,1,0,0,Australia,132082
3.76,2,0,0,U.K.,192848
3.27,1,0,2,Australia,73083
2.48,1,0,0,U.K.,134441
2.9,2,0,1,U.K.,127145
2.56,0,1,0,U.K.,126866
2.31,2,2,1,U.K.,129259
